ensembl_gene_id,shCon,shMLL1,shNRF2,shUTX
ENSG00000142619,3.287921482,2.786319739,3.56329519,2.08369099
ENSG00000142621,1.643451122,2.302192112,2.208029079,2.812024476
ENSG00000142623,-0.21306264,-0.220325737,-0.765985083,0.116285753
ENSG00000142627,3.933501721,3.951166506,3.99977648,4.137593451
ENSG00000142632,-0.47119825,-2.680284941,-1.736849044,-2.680284941
ENSG00000142655,5.18343537,5.128999452,4.812224804,5.476092313
ENSG00000142657,1.937651769,1.759953289,2.666438727,2.145510888
ENSG00000142661,7.518306438,7.662322879,7.316826377,7.879455169
ENSG00000142675,7.628546292,7.31570241,7.830975976,7.282412945
ENSG00000142676,2.606971575,2.17333514,2.730450528,2.204790273
ENSG00000142677,9.054168622,8.733987552,8.822243104,8.581275862
ENSG00000142687,4.978799528,4.827358048,5.339132257,4.96967837
ENSG00000142698,-2.680284941,-2.680284941,-2.680284941,-2.680284941
ENSG00000142733,0.195827878,0.766556945,0.387495308,-0.488494342
ENSG00000142748,-2.680284941,-2.680284941,-2.680284941,-1.549634774
ENSG00000142751,5.233073547,5.440336152,5.696465203,5.807803242
ENSG00000142784,-0.785809199,-0.792289112,-0.449955477,-1.549634774
ENSG00000142789,4.829024788,4.509191514,4.622833465,4.718287113
ENSG00000142794,-2.680284941,-2.680284941,-1.736849044,-0.923625457
ENSG00000142798,-2.680284941,-0.478146429,-1.736849044,0.344290701
ENSG00000142864,3.445958386,3.856405813,4.260464078,4.309476676
ENSG00000142871,-2.680284941,-2.680284941,-2.680284941,-2.680284941
ENSG00000142920,6.446597594,6.575859538,6.670014692,7.154823107
ENSG00000142945,6.272898994,5.950079123,6.081050938,5.749276074
ENSG00000142949,2.934886397,3.215166788,2.934464546,1.951487479
ENSG00000142959,4.864455549,4.298779212,4.588702069,4.295909843
ENSG00000142973,4.932808884,5.266971151,5.308003073,5.323982704
ENSG00000143006,-1.188733326,-0.792289112,-0.765985083,-1.549634774
ENSG00000143013,8.701820761,8.658761739,8.695672127,8.747480265
ENSG00000143028,7.133028928,6.699953863,7.094669221,6.627720306
ENSG00000143033,-0.785809199,-0.478146429,0.913933208,0.116285753
ENSG00000143036,-2.680284941,-2.680284941,-2.680284941,-2.680284941
ENSG00000143061,0.889142228,1.178296395,2.295271556,1.008537644
ENSG00000143093,6.32723897,6.615668603,6.530894983,6.488548136
ENSG00000143106,-1.188733326,-0.792289112,-0.765985083,-0.923625457
ENSG00000143107,5.265241539,5.926948486,6.096315003,6.01244268
ENSG00000143110,0.363698052,0.98706569,1.11915879,0.868911725
ENSG00000143119,0.195827878,-0.478146429,-0.765985083,0.116285753
ENSG00000143125,4.011431318,4.52688151,4.025520427,4.388302908
ENSG00000143126,-2.680284941,-2.680284941,-2.680284941,-2.680284941
ENSG00000143147,2.226153409,2.494268933,2.162346219,2.692859103
ENSG00000143149,-0.47119825,0.766556945,0.028700556,0.541130891
ENSG00000143153,1.273473715,1.178296395,1.211770121,1.880546451
ENSG00000143155,4.255152721,4.19195162,5.579679686,5.42091341
ENSG00000143156,-2.680284941,-2.680284941,-1.736849044,-2.680284941
ENSG00000143157,-1.188733326,-0.478146429,-1.736849044,-0.488494342
ENSG00000143158,-0.47119825,-2.680284941,-0.765985083,-0.923625457
ENSG00000143164,6.681260217,5.99843019,6.379411903,6.436946341
ENSG00000143179,-2.680284941,-2.680284941,-0.449955477,-2.680284941
ENSG00000143183,-0.21306264,-0.220325737,0.67459429,-0.923625457
ENSG00000143190,4.472802535,4.578686121,4.973013818,5.176310798
ENSG00000143195,-2.680284941,-2.680284941,-1.736849044,-2.680284941
ENSG00000143198,7.516080235,7.621741221,7.254240233,7.567114503
ENSG00000143199,7.010282428,6.470105844,6.494489126,6.273512122
ENSG00000143207,5.200171912,5.19133823,5.260012482,5.408359458
ENSG00000143217,8.345338564,8.402641687,8.157807877,8.362007143
ENSG00000143224,-2.680284941,-2.680284941,-2.680284941,-2.680284941
ENSG00000143228,-0.785809199,-1.194443566,-0.765985083,-1.549634774
ENSG00000143248,-1.188733326,-0.792289112,-0.765985083,-0.154643054
