ensembl_gene_id,SYMBOL,logFC,logCPM,PValue,FDR,ROS hallmark
ENSG00000126070,AGO3,-0.539138234,9.879426333,2.33E-22,5.04E-21,
ENSG00000142677,IL22RA1,-0.539495742,8.739536038,5.50E-23,1.23E-21,
ENSG00000100916,BRMS1L,-0.540099739,8.671661266,1.92E-23,4.47E-22,
ENSG00000197586,ENTPD6,-0.540405582,7.083351365,3.27E-23,7.41E-22,
ENSG00000197487,GALP,-0.540594694,8.176889894,6.35E-23,1.42E-21,
ENSG00000047579,DTNBP1,-0.540870505,4.754985123,1.14E-06,6.69E-06,
ENSG00000198286,CARD11,-0.541351229,5.095444997,6.02E-09,4.46E-08,
ENSG00000105122,RASAL3,-0.54165695,3.423530014,0.001437174,0.005372462,
ENSG00000161267,BDH1,-0.54173268,7.066491202,7.52E-24,1.81E-22,
ENSG00000103994,ZNF106,-0.542006453,6.480481655,2.21E-20,4.32E-19,
ENSG00000130779,CLIP1,-0.54239538,6.792986156,6.80E-24,1.64E-22,
ENSG00000146067,FAM193B,-0.54250847,2.768099544,0.012092219,0.035429302,
ENSG00000141854,MISP3,-0.54273614,5.386261676,8.62E-11,7.67E-10,
ENSG00000105726,ATP13A1,-0.542756361,4.556975698,1.11E-06,6.51E-06,
ENSG00000160072,ATAD3B,-0.543186039,7.297362419,9.18E-27,2.62E-25,
ENSG00000135374,ELF5,-0.544302501,7.342312855,1.31E-28,4.30E-27,
ENSG00000133116,KL,-0.544441965,2.073783028,0.065105145,0.146952989,
ENSG00000072195,SPEG,-0.544792718,6.447823172,8.32E-20,1.55E-18,
ENSG00000128789,PSMG2,-0.545078612,6.827079328,6.34E-25,1.63E-23,
ENSG00000160563,MED27,-0.545578596,7.730177807,1.83E-24,4.59E-23,
ENSG00000166002,SMCO4,-0.546137635,1.290451883,0.118469868,0.222721466,
ENSG00000066044,ELAVL1,-0.546149836,6.023618248,8.28E-15,1.06E-13,
ENSG00000176635,HORMAD2,-0.546861027,4.55694694,1.74E-06,9.93E-06,
ENSG00000139197,PEX5,-0.547904036,1.764632343,0.027205864,0.069868826,
ENSG00000182809,CRIP2,-0.548627043,8.237261672,8.30E-24,1.99E-22,
ENSG00000163346,PBXIP1,-0.548636055,8.823122705,8.07E-24,1.94E-22,
ENSG00000161956,SENP3,-0.548702126,7.0543219,1.60E-27,4.80E-26,
ENSG00000109881,CCDC34,-0.548749642,5.307566922,3.29E-10,2.79E-09,
ENSG00000127419,TMEM175,-0.548799876,4.369634225,6.01E-06,3.25E-05,
ENSG00000204920,ZNF155,-0.549725971,4.329081201,5.96E-05,0.000278516,
ENSG00000130270,ATP8B3,-0.549793661,2.345790773,0.011716582,0.034436145,
ENSG00000101079,NDRG3,-0.550168148,1.001058805,0.224900964,0.35407039,
ENSG00000170100,ZNF778,-0.550168148,0.962495229,0.224900964,0.35407039,
ENSG00000177463,NR2C2,-0.550168148,0.891436521,0.224900964,0.35407039,
ENSG00000090238,YPEL3,-0.551387063,8.643620222,7.32E-24,1.77E-22,
ENSG00000099899,TRMT2A,-0.552198452,9.721160622,1.39E-23,3.26E-22,
ENSG00000109736,MFSD10,-0.552561761,8.473437142,3.34E-24,8.24E-23,
ENSG00000112706,IMPG1,-0.553777168,8.076561349,8.92E-25,2.28E-23,
ENSG00000167595,PROSER3,-0.553959362,8.517626842,1.33E-23,3.13E-22,
ENSG00000113387,SUB1,-0.554217647,8.892096946,1.99E-24,4.96E-23,
ENSG00000215915,ATAD3C,-0.554559286,7.822835011,6.50E-24,1.57E-22,
ENSG00000160226,CFAP410,-0.554869608,4.35487152,1.55E-05,7.91E-05,
ENSG00000179526,SHARPIN,-0.556418666,9.861554861,1.16E-23,2.76E-22,
ENSG00000172197,MBOAT1,-0.556785756,6.856130624,9.58E-24,2.28E-22,
ENSG00000143554,SLC27A3,-0.557259905,6.659010687,4.41E-24,1.08E-22,
ENSG00000100403,ZC3H7B,-0.559044058,6.965871268,1.03E-28,3.41E-27,
ENSG00000178802,MPI,-0.559085097,3.242027068,0.003753019,0.012809786,
ENSG00000178078,STAP2,-0.559107326,8.316315372,6.75E-25,1.73E-23,
ENSG00000179152,TCAIM,-0.559633452,4.281220162,4.15E-05,0.000197612,
ENSG00000105492,SIGLEC6,-0.559837069,8.55993786,2.55E-24,6.33E-23,
ENSG00000136153,LMO7,-0.559845532,6.57598423,3.65E-19,6.51E-18,
ENSG00000005007,UPF1,-0.560006973,0.806095192,0.158881719,0.263629643,
ENSG00000129810,SGO1,-0.560006973,1.277019146,0.158881719,0.263629643,
ENSG00000062725,APPBP2,-0.561165504,5.552973303,8.80E-11,7.83E-10,
ENSG00000243477,NAA80,-0.561733118,6.837968776,1.14E-31,4.52E-30,
ENSG00000135604,STX11,-0.562361609,2.286439895,0.046241556,0.10753584,
ENSG00000181029,TRAPPC5,-0.562943481,7.73470835,9.28E-26,2.52E-24,
ENSG00000171425,ZNF581,-0.56315095,2.213207149,0.014628124,0.04223097,
ENSG00000007372,PAX6,-0.563595835,5.656438961,2.45E-13,2.72E-12,
ENSG00000161298,ZNF382,-0.563977921,7.114393974,5.64E-28,1.76E-26,
ENSG00000161671,EMC10,-0.564298065,5.629940931,8.47E-13,9.03E-12,
ENSG00000116871,MAP7D1,-0.565061657,5.54635934,1.06E-12,1.13E-11,
ENSG00000102048,ASB9,-0.565071811,3.739625078,0.001227028,0.004625127,
ENSG00000063854,HAGH,-0.565156223,9.025693677,1.32E-24,3.35E-23,
ENSG00000115255,REEP6,-0.565610952,4.128021139,1.37E-05,7.02E-05,
ENSG00000119888,EPCAM,-0.56593647,9.202403569,4.10E-25,1.06E-23,
ENSG00000105613,MAST1,-0.56746995,7.871795938,7.41E-26,2.02E-24,
ENSG00000171421,MRPL36,-0.568488794,7.242938012,4.51E-26,1.24E-24,
ENSG00000155906,RMND1,-0.570048191,5.643265388,9.22E-14,1.07E-12,
ENSG00000121289,CEP89,-0.571474278,5.289486948,6.77E-10,5.57E-09,
ENSG00000164077,MON1A,-0.57179553,4.568908537,5.53E-07,3.34E-06,
ENSG00000005810,MYCBP2,-0.572014037,-0.42870601,0.475023184,0.664553461,
ENSG00000006459,KDM7A,-0.572014037,0.89188639,0.475023184,0.664553461,
ENSG00000007080,CCDC124,-0.572014037,-0.930052195,0.475023184,0.664553461,
ENSG00000020922,MRE11,-0.572014037,-0.004585804,0.475023184,0.664553461,
ENSG00000029639,TFB1M,-0.572014037,-0.826976954,0.475023184,0.664553461,
ENSG00000050327,ARHGEF5,-0.572014037,-0.433853769,0.475023184,0.664553461,
ENSG00000070413,DGCR2,-0.572014037,-0.354577689,0.475023184,0.664553461,
ENSG00000091128,LAMB4,-0.572014037,-0.191172302,0.475023184,0.664553461,
ENSG00000099822,HCN2,-0.572014037,-0.180647485,0.475023184,0.664553461,
ENSG00000111796,KLRB1,-0.572014037,-0.428679295,0.475023184,0.664553461,
ENSG00000112183,RBM24,-0.572014037,-0.511811902,0.475023184,0.664553461,
ENSG00000115761,NOL10,-0.572014037,-0.251005784,0.475023184,0.664553461,
ENSG00000119231,SENP5,-0.572014037,-0.727153211,0.475023184,0.664553461,
ENSG00000120709,FAM53C,-0.572014037,-0.318110288,0.475023184,0.664553461,
ENSG00000122254,HS3ST2,-0.572014037,-0.728792817,0.475023184,0.664553461,
ENSG00000126368,NR1D1,-0.572014037,0.077364606,0.475023184,0.664553461,
ENSG00000129946,SHC2,-0.572014037,-0.28246335,0.475023184,0.664553461,
ENSG00000140829,DHX38,-0.572014037,-0.590101054,0.475023184,0.664553461,
ENSG00000140905,GCSH,-0.572014037,-0.67729866,0.475023184,0.664553461,
ENSG00000142039,CCDC97,-0.572014037,0.078603615,0.475023184,0.664553461,
ENSG00000154511,DIPK1A,-0.572014037,-0.220053273,0.475023184,0.664553461,
