Symbol,O_Con,O_NFIB,O_MLL1,A_Con,A_NFIB,A_MLL1,NFIB,H3K4me3,TF,Adipo,Osteo,Cluster
Car5b,0.338886603,5.77515636,-0.043242928,2.403938002,-2.706124887,-2.258424476,1.501413022,1.616759421,0,0,0,cluster3
Car9,1.33810065,1.870667742,1.392367057,4.020600804,-3.435732274,-1.864400514,0,0,0,0,0,cluster3
Ccl17,7.946845271,-1.308820186,-2.239220479,1.871223184,-1.701392153,-0.331694252,1.98537674,0,0,0,0,cluster1
Ccl6,3.143224209,1.044441136,0.139951405,6.340161884,-4.077221449,-2.685155736,1.863823062,0,0,0,0,cluster3
Ccrl2,3.191325716,1.642520815,-3.800352553,3.286260679,-1.701392151,1.393198512,10.28141526,1.629017205,0,0,0,cluster1
Cd36,9.511806766,1.414800457,-6.005230481,7.223433841,-5.638565313,-5.853829915,0,0,0,0,0,cluster3
Cebpa,-0.890245289,2.947154567,-2.060008426,2.713681902,-2.041935922,-2.593249727,2.350037773,1.415457023,1,1,0,cluster3
Cfap100,4.493297074,2.176545827,-1.269531881,3.074756575,-1.267495624,0.628748091,1.795167744,1.404814489,0,0,0,cluster1
Cfd,14.09013872,3.60345146,-5.239962436,10.33956953,-8.75470099,-7.969965592,1.423262313,0,0,0,0,cluster2
Chrdl1,2.764299401,0.045818442,-1.499436772,4.441538904,-2.271707875,-2.071934977,2.758739995,0,0,0,1,cluster1
Chst15,2.489322589,4.322192159,-0.10624576,2.856241788,-3.730804877,-1.418592472,2.154201292,0.049665159,0,0,0,cluster3
Cidec,12.44586535,1.98136325,-4.994259784,12.68616972,-10.51633869,-10.14664079,2.634890837,0,0,0,0,cluster2
Ckb,0.971444023,2.059539605,-0.147383061,1.221967002,-1.782528912,-1.247771766,0.955868539,1.266461547,0,0,0,cluster3
Cldn19,-3.193336816,1.00975842,0.319308584,3.908217386,-1.176507469,-0.936577445,1.230767958,0,0,0,0,cluster3
Clu,2.979718854,7.747398842,-1.559219335,5.877088429,-1.218431995,-1.434505055,1.208352756,1.854165924,0,0,0,cluster3
Cnr1,2.23215041,0.888078676,-1.524331515,-0.717491456,-1.126483313,-1.135297037,1.819384083,0.108360346,0,0,0,cluster1
Cntfr,5.208201391,2.305649848,-4.972470635,8.272878476,-6.688009937,-4.903274538,2.350037773,0,0,0,0,cluster2
Col9a2,5.849829966,-0.172580542,-2.633853454,2.73371966,-1.148851124,-0.779153231,1.28324431,0,0,0,0,cluster1
Coq8a,0.980406748,1.852977208,-0.623372811,2.140719836,-1.818885712,-1.213120454,1.560712109,1.838452654,0,0,0,cluster3
Cox8b,8.737918525,-1.486619357,-8.552838536,5.219146486,-4.634277954,-5.849542554,0.99424675,0,0,0,0,cluster2
Crat,0.130287389,5.993680337,-0.616994504,0.979582442,-1.195462068,-1.101776429,1.203677884,0,0,0,0,cluster3
Cuedc1,1.34503975,5.679996774,-1.061315156,-0.089078261,-0.142472214,-0.085450096,2.094598885,2.830914045,0,0,0,cluster1
Cygb,2.41614572,0.829880184,-2.912697839,1.813890004,-1.036376396,-1.792209379,0,0,0,0,0,cluster1
Cyp2d22,4.061221351,1.860514834,-1.870777282,5.541074582,-4.956206049,-0.712039031,1.66222184,1.73376554,0,0,0,cluster1
Cyp2e1,10.53491438,0.134296251,-6.102233797,7.26977256,-6.684904027,-5.578240529,0.551747999,0,0,0,0,cluster2
Cyp2f2,7.741244601,2.828172218,-2.612355529,11.37360298,-6.834538129,-3.209583174,0,0,0,0,0,cluster2
Cyp4f14,1.055484192,-1.222273008,1.482587718,6.084216907,-1.592457778,-0.760416664,1.153654907,0,0,0,0,cluster3
Cyp4v3,0.979644998,4.446704578,-0.915847115,1.972172818,-1.156499627,-1.504721566,2.350037773,1.346665494,0,0,0,cluster3
Dapk1,3.22722857,5.452053523,-1.740000908,1.958501692,-2.649526781,-1.234832711,2.721096369,1.617069782,0,0,0,cluster3
Dclk2,1.632474433,7.649585229,-1.149248616,1.400212042,-0.23177965,0.051912294,2.521991757,1.403537385,0,0,0,cluster1
Dgat1,1.242379544,5.158866665,-0.276324831,1.958186405,-1.953100137,-1.713170112,0,1.609151141,0,0,0,cluster3
Dgat2,0.079072758,3.795778586,-2.206278802,3.673459131,-2.436513905,-2.523517831,1.12583205,1.278877836,0,0,0,cluster3
Dlk1,-1.516389717,1.117016594,-9.465304329,2.570128588,-7.95104434,-10.16630894,1.239277732,0,0,0,0,cluster3
Dlx5,2.039394291,3.965828609,-1.723467008,-0.745489231,-0.521708811,-0.480065109,1.909405691,2.601035311,1,0,1,cluster1
Dmpk,3.802370138,5.465734997,-0.181694607,2.551516324,-1.709739492,-1.982406404,1.363602165,1.447384625,0,0,0,cluster3
Dnajb9,0.57969531,5.350687074,-0.331501607,1.665035946,-1.235039789,-1.461393569,4.961190855,3.377230791,0,0,0,cluster3
Dnajc12,1.372873588,1.834884856,-1.531856735,1.269772556,-1.225472408,-0.392373988,0,1.65908476,0,0,0,cluster1
Dram1,0.545956691,4.698466489,-1.915759299,2.782643196,-1.488675865,-2.374867776,2.009900727,1.002993936,0,0,0,cluster3
Dusp26,2.981856041,-1.527067446,-3.002509134,1.996754066,-0.411885529,-1.04218764,1.72580899,2.458425355,0,0,0,cluster1
Dyrk4,1.043932796,-0.055998955,-1.53440136,1.959279357,0.417002552,-0.735526294,1.576999032,0,0,0,0,cluster1
E230025N22Rik,1.560237753,0.518971034,-2.062565939,1.205340683,-0.035509653,-0.420699255,1.988493501,0.248325793,0,0,0,cluster1
Ece2,1.185935314,1.646416163,-0.442645074,2.007981317,-1.175185274,-1.644023952,1.151439912,0,0,0,0,cluster3
Ecscr,1.557753382,-0.83896141,-2.248541023,2.456185681,-3.286354653,-0.729029747,1.233769831,0,0,0,0,cluster1
Efhd1,0.057326594,3.197798236,-2.287646705,3.145809871,-2.853723091,-2.70441526,2.605476662,0.523741673,0,0,0,cluster3
Efna2,0.493820187,1.568705099,-0.349802197,1.169590658,-1.196156841,-1.138402947,1.226781833,0,0,0,0,cluster3
Ehf,2.362424018,2.907603536,-1.568957011,4.83288536,-0.845168741,-0.486001508,2.643792495,0,1,0,0,cluster1
Elobl,1.445872105,2.011593679,-2.181163685,1.755745962,-0.347755195,-1.69426433,0,0,0,0,0,cluster1
Enpep,1.272667028,1.801414299,-0.83822577,3.281207451,-1.442582329,-1.308262492,1.67859841,1.964532944,0,0,0,cluster3
Enpp1,1.496431951,3.096165083,-1.538891552,0.547355544,-1.833407065,-0.327387694,3.45161798,0,0,0,1,cluster1
Entpd2,1.063706707,-0.156007665,-1.466064262,3.935353527,-0.765522487,-0.707768593,1.205940436,0.297990952,0,0,0,cluster3
Entpd3,0.904421078,1.537079487,-2.826216467,3.849196873,-1.016400831,-2.742627351,3.83839503,0,0,0,0,cluster3
Epas1,0.874093692,5.403169804,-3.002524892,4.136086983,-3.007101006,-3.041650016,2.315979255,0.264164952,1,0,0,cluster3
Ephx2,10.97732604,2.121399305,-1.812433291,7.45618569,-4.87131715,-5.627150132,2.115033996,0,0,0,0,cluster3
Fabp4,-0.002495564,2.100580494,0.063709583,8.640910781,-9.570615424,-7.364416257,0,4.271203647,0,1,0,cluster3
Fam110c,-0.124203414,0.211323246,0.416630801,2.095056135,-3.625664824,-4.177964412,1.717335296,0,0,0,0,cluster3
Fam13a,6.581949601,1.382183694,1.367697766,8.472487496,-3.565690868,-1.845495721,0,8.343746659,0,0,0,cluster3
Fam43a,2.761692618,6.513777503,-1.44156088,2.173198014,-1.090527785,-1.639318807,2.219480119,1.477850679,0,0,0,cluster1
Fam83a,6.066717987,0.361457294,-1.272842988,8.231970527,-6.64710199,-1.979723545,1.141030737,1.123121014,0,0,0,cluster2
Fasn,-1.067692509,7.551642403,-0.290574566,0.97614843,-1.187933542,-1.334974843,1.577882505,1.120978371,0,0,0,cluster3
Fat4,-0.213902628,5.740771205,0.721684919,2.70942106,-1.178247538,-1.372948974,2.383136897,2.043366529,0,0,0,cluster3
Fbln7,2.258583736,0.914202945,-1.012568035,3.821182498,-0.712752012,-1.242125203,1.839159997,0,0,0,0,cluster1
Fcor,1.804800955,0.317414041,-1.232051187,3.804108983,-2.716740114,-3.019467556,0.747739292,1.691819599,0,0,0,cluster2
Fgd4,4.550406657,0.897501951,-1.443166541,2.762288808,-1.039916755,-2.129650475,0.721034317,2.503123998,0,0,0,cluster1
Fgfr2,1.397743616,3.456579768,-1.425767763,1.61938698,-3.426835873,0.294537464,2.071743827,0.616071182,0,0,0,cluster1
Fgfr3,1.321054858,2.386771162,-2.117163254,0.723735568,0.429416722,-0.785847879,1.139626752,0,0,0,0,cluster1
Fndc5,6.853976496,-2.780432883,-6.670143474,1.411791572,-0.826923039,-2.04218764,3.21171829,0,0,0,0,cluster1
Frat1,1.557753382,-0.820331556,-1.794511958,1.511327232,-0.926458704,-2.36411573,1.604903845,0,0,0,0,cluster1
Fxyd1,2.4851958,4.049292662,-1.320739793,4.530883047,-0.808986269,-2.112456641,0,2.521461903,0,0,0,cluster1
Fxyd7,4.153997166,0.059995722,-0.728433809,4.581716566,-0.411885533,-1.752681014,0,0,0,0,0,cluster3
G0s2,-0.31142324,1.761615561,-2.141885342,6.200999137,-1.829534245,-2.452883585,4.059156154,0,0,0,0,cluster3
Gabbr1,2.985627134,5.955060958,-3.804505695,0.617205647,-0.320462504,0.175188056,1.736984441,1.29504244,0,0,1,cluster1
Garnl3,2.685429654,4.094242107,-2.776694456,2.329329401,-0.270529683,-2.160024123,2.902987838,1.671779748,0,0,0,cluster1
Gjb5,-1.942986071,0.008066464,-1.536380852,2.411791561,-2.615418925,-2.589675427,1.685896663,4.17187333,0,0,0,cluster3
Glul,3.010380572,8.747978526,0.095909202,3.790506921,-2.59211828,-1.188956265,2.405991054,0,0,0,0,cluster3
Gm12216,2.878061727,0.099259687,-1.660442125,2.82682906,-1.826923032,-1.457225134,3.068104871,1.966740284,0,0,0,cluster1
Gm2004,1.136955269,3.131045362,-2.745168683,5.838056319,-5.253187787,-0.201665846,0,3.831312242,0,0,0,cluster3
Gm2a,-0.58516166,3.21840874,-1.90270758,1.5630695,-3.329423372,-1.508162097,1.42458042,0.63989636,0,0,0,cluster3
Gm3055,7.946845271,-1.535834394,-4.440800041,1.182309714,-0.327352022,-0.315206127,0,0,0,0,0,cluster1
Gm3435,1.175225909,0.961195666,-1.916867871,0.981157207,-1.028556893,0.092461894,0,0,0,0,0,cluster1
Gm42674,0,-2.955683757,5.13E-15,2.613425421,-1.765522488,-3.24382149,0,0,0,0,0,cluster3
Gm4767,4.943461526,-0.843597681,-7.899003082,-0.822673693,-1.329423373,1.060174085,0,0,0,0,0,cluster1
