SYMBOL,shControl,shNRF2,shMLL1,shUTX,Cluster,ROS hallmark,MLL1,H3K4,UTX,H3K27,CHE
C11orf65,1.440947135,0.146600877,-1.185733036,4.02592915,cluster3,,0,0,0,0,0
ZNF93,1.141326528,-0.273206185,-1.060444898,0.199495192,cluster3,,0,1,0,0,0
STC2,1.935007703,-0.331795882,-1.029707224,-0.067475799,cluster3,,0,0,0,0,0
ARHGAP21,1.137752001,0.052995847,-1.029707224,0,cluster3,,1,0,1,0,0
SCML2,4.960958855,-2.003581795,-3.063797244,0.428966192,cluster1,,0,0,0,0,0
RBAK,1.931093351,-1.010913191,-3.063797244,0,cluster1,,0,1,0,0,0
TSKU,5.273592895,3.261026801,-3.063797244,-0.190539034,cluster1,,0,1,0,0,0
CLDN11,4.561279621,-3.08549002,-3.063797244,-0.034463725,cluster1,,0,0,0,0,0
AGBL3,4.561279621,1.145595798,-3.063797244,-0.079559443,cluster1,,0,0,0,0,0
BTBD19,4.561279621,-1.080860045,-3.063797244,-0.589302595,cluster1,,0,0,0,0,0
NOP58,1.128957221,0.24752468,-3.063797244,-3.231044725,cluster1,,1,0,0,0,0
EIF4E1B,1.609330814,-0.176715498,-3.063797244,1.248174309,cluster1,,0,0,0,0,0
FSCN1,1.763786093,-0.768283876,-3.063797244,0.074345802,cluster1,,1,1,0,0,0
TNFSF10,2.278775903,-0.768283876,-3.063797244,0,cluster1,,0,0,0,0,0
RCHY1,4.561279621,0.744099769,-3.063797244,0.119950766,cluster1,,0,0,0,0,0
ETNPPL,1.381411799,-0.216039653,-3.063797244,-0.069907775,cluster1,,0,0,0,1,0
HOXA7,1.08785605,-0.173408974,-3.063797244,0.271198736,cluster1,,0,0,0,0,0
CDH13,2.561017725,0.194740446,-3.063797244,0,cluster1,,1,1,0,0,0
BMS1,3.138986298,-0.148984552,-3.063797244,0.596460978,cluster1,,0,0,0,0,0
ZNF343,4.561279621,0.175536781,-3.063797244,-0.157188552,cluster1,,0,0,0,0,0
ELOB,4.561279621,0,-3.063797244,0,cluster1,,0,0,0,0,0
CYP20A1,4.960958855,0,-3.063797244,3.11187958,cluster1,,0,1,0,0,0
PTGFR,1.931093351,0.185844764,-3.063797244,-0.119165145,cluster1,,0,1,0,0,0
LYZL2,3.138986298,0.193417772,-3.063797244,0,cluster1,,0,0,0,0,0
VPS13D,1.138455441,0.227266999,1.147135302,-3.231044725,cluster3,,0,0,0,0,0
UBA7,4.561279621,0,-3.063797244,-2.312618723,cluster1,,0,1,0,0,0
NIPSNAP1,4.960958855,0.185844764,-3.063797244,-0.347635025,cluster1,,0,1,0,0,0
